Movie Title,Genre,IMDB Rating,Release Year,Director,Lead Star Cast,Synopsis
Children of Men,Thriller,8.3,1990,Martin Scorsese,Will Smith,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
Titanic,Sci-Fi,7.7,1996,Jon Favreau,Ryan Gosling,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
Encanto,Horror,5.6,2012,Martin Scorsese,Joaquin Phoenix,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
Ex Machina,Adventure,6.9,1986,Wes Anderson,Daniel Day-Lewis,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
Once Upon a Time in Hollywood,Fantasy,7.4,2018,Ridley Scott,Scarlett Johansson,A thought-provoking Fantasy film that challenges perceptions of reality.
The Usual Suspects,Horror,5.5,1999,Denis Villeneuve,Angelina Jolie,A thought-provoking Horror film that challenges perceptions of reality.
The Lord of the Rings: The Two Towers,Action,7.8,2017,Spike Lee,Tom Hanks,"A classic tale of love, loss, and redemption, set in a Action world of intrigue."
Whiplash,Horror,6.2,1989,Wes Anderson,Jennifer Lawrence,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Cars 2,Romance,6.7,1984,Alfred Hitchcock,Christian Bale,An intense Romance drama that keeps you on the edge of your seat.
Speed Racer,Sci-Fi,6.2,1990,Robert Zemeckis,Viola Davis,"A classic tale of love, loss, and redemption, set in a Sci-Fi world of intrigue."
The Shining,Action,6.5,2010,Christopher Nolan,Daniel Day-Lewis,A mesmerizing Action story that explores the depths of human emotions and resilience.
Wonder Woman,Adventure,6.9,2009,Peter Jackson,Natalie Portman,"A classic tale of love, loss, and redemption, set in a Adventure world of intrigue."
Glass Onion,Romance,5.7,2013,Steven Spielberg,Gal Gadot,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
Mulan,Sci-Fi,6.1,2020,Stanley Kubrick,Johnny Depp,A thought-provoking Sci-Fi film that challenges perceptions of reality.
"Monsters, Inc.",Fantasy,9.0,1984,M. Night Shyamalan,Matt Damon,An intense Fantasy drama that keeps you on the edge of your seat.
The Hitman's Bodyguard,Fantasy,6.3,2003,Patty Jenkins,Matt Damon,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue."
The Cabin in the Woods,Animation,8.7,1999,Martin Scorsese,Chris Pratt,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
Once Upon a Time in Hollywood,Fantasy,6.7,1986,Jon Favreau,Matt Damon,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.
Gladiator,Fantasy,6.5,1995,Paul Thomas Anderson,Benedict Cumberbatch,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
Blade Runner,Horror,7.9,1981,Ridley Scott,Natalie Portman,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Ready Player One,Animation,7.3,2006,Peter Jackson,Viola Davis,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments."
The Fly,Romance,7.5,2005,Steven Spielberg,Hugh Jackman,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
The Lord of the Rings: The Fellowship of the Ring,Horror,6.1,2008,Francis Ford Coppola,Keanu Reeves,"A thrilling mix of Horror and action, packed with stunning visuals and unforgettable moments."
Luca,Comedy,7.5,2001,James Cameron,Hugh Jackman,A thought-provoking Comedy film that challenges perceptions of reality.
The Ring,Animation,8.1,2016,Ridley Scott,Michael Fassbender,A thought-provoking Animation film that challenges perceptions of reality.
The Lord of the Rings: The Two Towers,Thriller,8.8,1984,Coen Brothers,Joaquin Phoenix,An intense Thriller drama that keeps you on the edge of your seat.
Sleeping Beauty,Sci-Fi,7.4,2000,George Lucas,Tom Cruise,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
Blade Runner 2049,Animation,8.8,1982,Guy Ritchie,Viola Davis,"A classic tale of love, loss, and redemption, set in a Animation world of intrigue."
Cars 3,Drama,8.0,1989,Alfred Hitchcock,Robert Downey Jr.,A thought-provoking Drama film that challenges perceptions of reality.
Cloverfield,Horror,5.0,1983,Spike Lee,Will Smith,A thought-provoking Horror film that challenges perceptions of reality.
The Incredibles,Comedy,6.0,2008,George Lucas,Natalie Portman,A thought-provoking Comedy film that challenges perceptions of reality.
Hereditary,Romance,8.8,1992,Patty Jenkins,Natalie Portman,A thought-provoking Romance film that challenges perceptions of reality.
Toy Story 2,Action,8.5,2006,Coen Brothers,Angelina Jolie,"A thrilling mix of Action and action, packed with stunning visuals and unforgettable moments."
Lilo & Stitch,Thriller,6.2,1980,Paul Thomas Anderson,Hugh Jackman,"A gripping tale of adventure and mystery, following a Thriller journey like never before."
War of the Worlds,Sci-Fi,8.8,1992,Zack Snyder,Viola Davis,A thought-provoking Sci-Fi film that challenges perceptions of reality.
The Avengers,Animation,8.5,2000,Coen Brothers,Scarlett Johansson,An intense Animation drama that keeps you on the edge of your seat.
Red Notice,Drama,5.2,2006,Francis Ford Coppola,Margot Robbie,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
The Avengers,Fantasy,5.3,1989,Denis Villeneuve,Robert Downey Jr.,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
Hereditary,Animation,8.4,1981,Zack Snyder,Jennifer Lawrence,An intense Animation drama that keeps you on the edge of your seat.
Up,Thriller,6.5,1992,Stanley Kubrick,Charlize Theron,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue."
Tarzan,Horror,6.9,1983,Jon Favreau,Viola Davis,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Star Wars: The Rise of Skywalker,Drama,8.4,1997,Stanley Kubrick,Chris Pratt,A mesmerizing Drama story that explores the depths of human emotions and resilience.
Annihilation,Action,6.1,2007,Peter Jackson,Viola Davis,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.
Pandorum,Fantasy,5.4,2013,Coen Brothers,Anne Hathaway,A thought-provoking Fantasy film that challenges perceptions of reality.
Gone Girl,Adventure,6.0,2011,M. Night Shyamalan,Matt Damon,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
A Beautiful Mind,Animation,8.6,1993,Steven Spielberg,Viola Davis,An intense Animation drama that keeps you on the edge of your seat.
Titanic,Animation,9.2,1988,Denis Villeneuve,Emma Stone,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
Jurassic Park,Sci-Fi,7.4,2006,Alfred Hitchcock,Will Smith,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
Memento,Comedy,6.1,1980,Greta Gerwig,Jennifer Lawrence,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
Get Out,Action,6.4,2024,Alfred Hitchcock,Michael Fassbender,A mesmerizing Action story that explores the depths of human emotions and resilience.
Toy Story 2,Horror,6.8,2019,James Cameron,Jennifer Lawrence,A mesmerizing Horror story that explores the depths of human emotions and resilience.
Insidious,Adventure,5.8,2001,James Cameron,Joaquin Phoenix,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
Star Wars: A New Hope,Comedy,9.4,2015,Tim Burton,Charlize Theron,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
Harry Potter and the Sorcerer's Stone,Action,8.8,1980,Steven Spielberg,Joaquin Phoenix,An intense Action drama that keeps you on the edge of your seat.
Glass Onion,Fantasy,5.8,2023,Damien Chazelle,Daniel Day-Lewis,A thought-provoking Fantasy film that challenges perceptions of reality.
Paranormal Activity,Fantasy,8.2,2023,Bryan Singer,Tom Cruise,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
Nightcrawler,Thriller,5.4,2012,Bryan Singer,Keanu Reeves,A mesmerizing Thriller story that explores the depths of human emotions and resilience.
Halloween,Action,9.2,1982,George Lucas,Michael Fassbender,"A thrilling mix of Action and action, packed with stunning visuals and unforgettable moments."
Good Will Hunting,Horror,6.8,2000,Taika Waititi,Natalie Portman,A thought-provoking Horror film that challenges perceptions of reality.
The Big Short,Fantasy,7.9,2002,Steven Spielberg,Jennifer Lawrence,A thought-provoking Fantasy film that challenges perceptions of reality.
Get Out,Thriller,7.8,1992,Robert Zemeckis,Hugh Jackman,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Doctor Strange,Horror,5.7,2010,Guy Ritchie,Charlize Theron,A thought-provoking Horror film that challenges perceptions of reality.
The Shining,Horror,5.7,1980,Jon Favreau,Chris Pratt,"A gripping tale of adventure and mystery, following a Horror journey like never before."
Inception,Action,6.4,2012,Robert Zemeckis,Johnny Depp,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.
Cinderella,Drama,6.9,1990,Greta Gerwig,Joaquin Phoenix,A mesmerizing Drama story that explores the depths of human emotions and resilience.
Ex Machina,Drama,5.0,1984,Alfred Hitchcock,Anne Hathaway,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue."
The Road to Perdition,Fantasy,8.0,2023,Alfred Hitchcock,Keanu Reeves,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.
The Dark Knight,Thriller,8.1,2023,Alfred Hitchcock,Brad Pitt,A thought-provoking Thriller film that challenges perceptions of reality.
Terminator 2: Judgment Day,Comedy,7.5,1983,Guillermo del Toro,Tom Hanks,"A thrilling mix of Comedy and action, packed with stunning visuals and unforgettable moments."
Ex Machina,Drama,6.3,1989,Paul Thomas Anderson,Jake Gyllenhaal,"A gripping tale of adventure and mystery, following a Drama journey like never before."
Memento,Action,6.9,2007,Zack Snyder,Jake Gyllenhaal,An intense Action drama that keeps you on the edge of your seat.
Spider-Man: No Way Home,Horror,6.9,1996,Martin Scorsese,Benedict Cumberbatch,A mesmerizing Horror story that explores the depths of human emotions and resilience.
Star Wars: The Last Jedi,Drama,8.8,2007,Guy Ritchie,Natalie Portman,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue."
Hercules,Drama,6.6,1998,Robert Zemeckis,Chris Pratt,A mesmerizing Drama story that explores the depths of human emotions and resilience.
Harry Potter and the Sorcerer's Stone,Thriller,5.4,1993,Bryan Singer,Joaquin Phoenix,"A gripping tale of adventure and mystery, following a Thriller journey like never before."
Scott Pilgrim vs. the World,Thriller,8.9,1999,Wes Anderson,Keanu Reeves,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
The Fly,Comedy,8.7,2014,Taika Waititi,Hugh Jackman,A mesmerizing Comedy story that explores the depths of human emotions and resilience.
Red Notice,Adventure,7.8,2016,Christopher Nolan,Leonardo DiCaprio,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
Toy Story,Adventure,9.1,1990,David Fincher,Benedict Cumberbatch,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
The Ring,Fantasy,8.0,2006,Taika Waititi,Viola Davis,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments."
Children of Men,Fantasy,8.4,2017,James Cameron,Chris Pratt,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.
Heat,Fantasy,7.9,1992,Christopher Nolan,Tom Hanks,A thought-provoking Fantasy film that challenges perceptions of reality.
Dune,Adventure,9.0,1982,Tim Burton,Daniel Day-Lewis,A thought-provoking Adventure film that challenges perceptions of reality.
Tangled,Sci-Fi,6.5,2011,Taika Waititi,Christian Bale,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
Atomic Blonde,Horror,7.1,2014,Denis Villeneuve,Leonardo DiCaprio,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
Ready Player One,Action,5.0,1989,Christopher Nolan,Ryan Gosling,A thought-provoking Action film that challenges perceptions of reality.
Edge of Tomorrow,Romance,6.6,1996,Taika Waititi,Michael Fassbender,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
Paranormal Activity,Drama,6.0,1991,Alfred Hitchcock,Matt Damon,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
Wreck-It Ralph,Horror,6.8,1994,Zack Snyder,Christian Bale,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
The Grand Budapest Hotel,Comedy,5.3,1984,Wes Anderson,Matt Damon,"A gripping tale of adventure and mystery, following a Comedy journey like never before."
Wreck-It Ralph,Fantasy,5.1,2019,Peter Jackson,Daniel Day-Lewis,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue."
Lilo & Stitch,Sci-Fi,5.2,2012,Christopher Nolan,Johnny Depp,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
Logan,Sci-Fi,6.0,2024,M. Night Shyamalan,Denzel Washington,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.
Paranormal Activity,Romance,5.5,2023,Francis Ford Coppola,Emma Stone,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Venom,Romance,8.3,1999,Bryan Singer,Natalie Portman,"A gripping tale of adventure and mystery, following a Romance journey like never before."
The Fly,Animation,6.5,1999,David Fincher,Margot Robbie,An intense Animation drama that keeps you on the edge of your seat.
Zombieland,Fantasy,6.6,1997,Coen Brothers,Anne Hathaway,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
Star Wars: The Force Awakens,Drama,9.5,2009,Robert Zemeckis,Benedict Cumberbatch,"A thrilling mix of Drama and action, packed with stunning visuals and unforgettable moments."
Wall-E,Comedy,5.7,2009,Zack Snyder,Benedict Cumberbatch,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
Moon,Comedy,8.4,2020,Steven Spielberg,Gal Gadot,A thought-provoking Comedy film that challenges perceptions of reality.
War of the Worlds,Comedy,6.2,1995,Guy Ritchie,Michael Fassbender,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
28 Days Later,Romance,7.0,2012,Ridley Scott,Matt Damon,A mesmerizing Romance story that explores the depths of human emotions and resilience.
A Quiet Place,Comedy,8.3,2004,J.J. Abrams,Denzel Washington,An intense Comedy drama that keeps you on the edge of your seat.
Hereditary,Adventure,6.0,1999,James Cameron,Natalie Portman,A mesmerizing Adventure story that explores the depths of human emotions and resilience.
Batman Begins,Fantasy,8.8,1986,Denis Villeneuve,Charlize Theron,A thought-provoking Fantasy film that challenges perceptions of reality.
2001: A Space Odyssey,Thriller,6.9,1989,George Lucas,Hugh Jackman,A mesmerizing Thriller story that explores the depths of human emotions and resilience.
Finding Dory,Action,6.5,1989,M. Night Shyamalan,Joaquin Phoenix,"A classic tale of love, loss, and redemption, set in a Action world of intrigue."
The Ring,Animation,7.0,2012,James Cameron,Tom Hanks,A thought-provoking Animation film that challenges perceptions of reality.
Big Hero 6,Adventure,8.2,2000,George Lucas,Anne Hathaway,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
Inside Out,Fantasy,6.4,1999,Robert Zemeckis,Tom Hanks,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.
Hereditary,Animation,7.8,2014,David Fincher,Joaquin Phoenix,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
Django Unchained,Action,6.8,1998,Peter Jackson,Will Smith,A mesmerizing Action story that explores the depths of human emotions and resilience.
La La Land,Adventure,7.2,1991,Guy Ritchie,Joaquin Phoenix,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
Up,Drama,7.6,2020,Guy Ritchie,Emma Stone,"A thrilling mix of Drama and action, packed with stunning visuals and unforgettable moments."
Star Wars: The Rise of Skywalker,Animation,8.2,2010,Jon Favreau,Charlize Theron,A mesmerizing Animation story that explores the depths of human emotions and resilience.
Kingsman: The Secret Service,Thriller,7.9,1998,Greta Gerwig,Joaquin Phoenix,An intense Thriller drama that keeps you on the edge of your seat.
Toy Story,Drama,7.8,2017,M. Night Shyamalan,Scarlett Johansson,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue."
The Big Short,Fantasy,6.2,2012,Steven Spielberg,Tom Hanks,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.
Life,Romance,6.2,1991,Patty Jenkins,Chris Hemsworth,A thought-provoking Romance film that challenges perceptions of reality.
Wanted,Animation,8.1,1987,Martin Scorsese,Denzel Washington,A thought-provoking Animation film that challenges perceptions of reality.
Treasure Planet,Horror,7.1,2015,Greta Gerwig,Denzel Washington,"A gripping tale of adventure and mystery, following a Horror journey like never before."
Toy Story 3,Adventure,6.0,2009,Peter Jackson,Benedict Cumberbatch,A thought-provoking Adventure film that challenges perceptions of reality.
The King's Man,Adventure,8.8,2003,Bryan Singer,Scarlett Johansson,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
Black Panther,Comedy,8.5,1989,Zack Snyder,Charlize Theron,"A thrilling mix of Comedy and action, packed with stunning visuals and unforgettable moments."
The Invisible Man,Sci-Fi,5.7,1985,Denis Villeneuve,Charlize Theron,An intense Sci-Fi drama that keeps you on the edge of your seat.
Harry Potter and the Deathly Hallows: Part 2,Adventure,7.3,2016,Martin Scorsese,Joaquin Phoenix,"A thrilling mix of Adventure and action, packed with stunning visuals and unforgettable moments."
La La Land,Thriller,7.8,2020,Martin Scorsese,Robert Downey Jr.,A thought-provoking Thriller film that challenges perceptions of reality.
Paranormal Activity,Comedy,7.3,2008,Bryan Singer,Viola Davis,A mesmerizing Comedy story that explores the depths of human emotions and resilience.
The Incredible Hulk,Sci-Fi,6.2,2020,Zack Snyder,Jake Gyllenhaal,An intense Sci-Fi drama that keeps you on the edge of your seat.
Finding Nemo,Action,6.1,1995,Denis Villeneuve,Angelina Jolie,"A classic tale of love, loss, and redemption, set in a Action world of intrigue."
Frozen II,Thriller,9.4,2018,Greta Gerwig,Robert Downey Jr.,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Big Hero 6,Animation,8.1,1982,Robert Zemeckis,Tom Cruise,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
Encanto,Romance,7.8,2003,M. Night Shyamalan,Matt Damon,"A gripping tale of adventure and mystery, following a Romance journey like never before."
Nobody,Adventure,5.2,1997,Coen Brothers,Charlize Theron,An intense Adventure drama that keeps you on the edge of your seat.
Inferno,Fantasy,6.3,1980,Robert Zemeckis,Tom Hanks,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments."
Blade Runner 2049,Fantasy,5.6,2006,Stanley Kubrick,Anne Hathaway,An intense Fantasy drama that keeps you on the edge of your seat.
War of the Worlds,Sci-Fi,8.4,1988,Bryan Singer,Anne Hathaway,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.
Snow White and the Seven Dwarfs,Thriller,5.3,2020,Denis Villeneuve,Matt Damon,An intense Thriller drama that keeps you on the edge of your seat.
Close Encounters of the Third Kind,Thriller,5.8,1996,Stanley Kubrick,Margot Robbie,A thought-provoking Thriller film that challenges perceptions of reality.
The Sixth Sense,Comedy,7.2,2017,Paul Thomas Anderson,Robert Downey Jr.,A mesmerizing Comedy story that explores the depths of human emotions and resilience.
Tron: Legacy,Action,8.1,1988,Patty Jenkins,Chris Hemsworth,An intense Action drama that keeps you on the edge of your seat.
The Matrix,Horror,7.6,2015,Peter Jackson,Gal Gadot,"A thrilling mix of Horror and action, packed with stunning visuals and unforgettable moments."
The Invisible Man,Animation,6.9,1980,Stanley Kubrick,Matt Damon,"A classic tale of love, loss, and redemption, set in a Animation world of intrigue."
World War Z,Sci-Fi,7.7,2008,Alfred Hitchcock,Chris Hemsworth,"A classic tale of love, loss, and redemption, set in a Sci-Fi world of intrigue."
Hercules,Romance,5.4,1983,Christopher Nolan,Keanu Reeves,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
Wanted,Sci-Fi,9.4,2024,Steven Spielberg,Leonardo DiCaprio,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
Terminator 2: Judgment Day,Drama,7.0,1996,Denis Villeneuve,Jennifer Lawrence,"A thrilling mix of Drama and action, packed with stunning visuals and unforgettable moments."
Wanted,Comedy,5.6,1999,Greta Gerwig,Ryan Gosling,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
War of the Worlds,Romance,5.3,1981,Wes Anderson,Will Smith,"A gripping tale of adventure and mystery, following a Romance journey like never before."
The Invisible Man,Drama,7.9,2020,Spike Lee,Margot Robbie,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
Annabelle,Adventure,8.7,2017,Robert Zemeckis,Anne Hathaway,A thought-provoking Adventure film that challenges perceptions of reality.
Star Wars: A New Hope,Horror,9.2,1985,Denis Villeneuve,Margot Robbie,An intense Horror drama that keeps you on the edge of your seat.
Prisoners,Horror,8.0,2015,Patty Jenkins,Jake Gyllenhaal,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
Wreck-It Ralph,Adventure,6.5,2010,Martin Scorsese,Natalie Portman,A mesmerizing Adventure story that explores the depths of human emotions and resilience.
The King's Man,Adventure,8.6,1988,Wes Anderson,Angelina Jolie,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
Memento,Fantasy,6.7,2012,Alfred Hitchcock,Chris Pratt,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.
Ex Machina,Comedy,8.5,1997,Peter Jackson,Emma Stone,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
Looper,Fantasy,5.3,1983,Greta Gerwig,Scarlett Johansson,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments."
Big Hero 6,Romance,7.0,2018,Spike Lee,Scarlett Johansson,A thought-provoking Romance film that challenges perceptions of reality.
Pocahontas,Sci-Fi,7.8,2018,Robert Zemeckis,Chris Pratt,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
Thor: Ragnarok,Comedy,6.0,1981,Steven Spielberg,Leonardo DiCaprio,"A gripping tale of adventure and mystery, following a Comedy journey like never before."
The Exorcist,Romance,5.9,1983,Tim Burton,Tom Cruise,A thought-provoking Romance film that challenges perceptions of reality.
The Hitman's Bodyguard,Drama,7.3,2007,Tim Burton,Joaquin Phoenix,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue."
Doctor Strange,Horror,7.8,2011,Bryan Singer,Ryan Gosling,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
The Little Mermaid,Comedy,7.5,1999,Bryan Singer,Christian Bale,A thought-provoking Comedy film that challenges perceptions of reality.
It,Romance,9.0,2010,Patty Jenkins,Chris Pratt,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
The Lighthouse,Romance,7.5,2017,Peter Jackson,Anne Hathaway,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Inferno,Fantasy,8.2,2005,Steven Spielberg,Angelina Jolie,A thought-provoking Fantasy film that challenges perceptions of reality.
Sunshine,Fantasy,7.2,1991,Jon Favreau,Gal Gadot,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
The Godfather,Fantasy,6.0,2010,Quentin Tarantino,Denzel Washington,"A thrilling mix of Fantasy and action, packed with stunning visuals and unforgettable moments."
Encanto,Adventure,6.5,2018,Wes Anderson,Natalie Portman,A thought-provoking Adventure film that challenges perceptions of reality.
The Lego Movie,Thriller,6.1,2004,Denis Villeneuve,Tom Hanks,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
Jaws,Comedy,9.2,1983,Tim Burton,Emma Stone,An intense Comedy drama that keeps you on the edge of your seat.
A Nightmare on Elm Street,Fantasy,6.1,1998,Coen Brothers,Chris Hemsworth,A thought-provoking Fantasy film that challenges perceptions of reality.
Forrest Gump,Horror,5.3,1980,Jon Favreau,Johnny Depp,An intense Horror drama that keeps you on the edge of your seat.
John Wick,Adventure,8.4,2000,J.J. Abrams,Anne Hathaway,An intense Adventure drama that keeps you on the edge of your seat.
Interstellar,Animation,5.4,1988,Peter Jackson,Leonardo DiCaprio,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
Doctor Strange,Horror,6.4,2008,Paul Thomas Anderson,Angelina Jolie,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
The Conjuring,Fantasy,9.4,2000,Alfred Hitchcock,Margot Robbie,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.
Star Wars: The Rise of Skywalker,Animation,8.6,2024,Quentin Tarantino,Gal Gadot,"A gripping tale of adventure and mystery, following a Animation journey like never before."
Mulan,Romance,8.6,2014,Paul Thomas Anderson,Michael Fassbender,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Shazam!,Fantasy,9.4,2022,David Fincher,Keanu Reeves,An intense Fantasy drama that keeps you on the edge of your seat.
Avatar,Comedy,6.1,2006,Zack Snyder,Margot Robbie,An intense Comedy drama that keeps you on the edge of your seat.
Pocahontas,Sci-Fi,6.7,1984,J.J. Abrams,Scarlett Johansson,A thought-provoking Sci-Fi film that challenges perceptions of reality.
Atomic Blonde,Adventure,6.9,2003,Jon Favreau,Matt Damon,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
The Lord of the Rings: The Two Towers,Romance,7.6,2014,J.J. Abrams,Scarlett Johansson,An intense Romance drama that keeps you on the edge of your seat.
A Bug's Life,Thriller,6.5,1996,Taika Waititi,Viola Davis,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Bohemian Rhapsody,Adventure,8.4,1998,Denis Villeneuve,Ryan Gosling,A thought-provoking Adventure film that challenges perceptions of reality.
Cars,Drama,8.5,1991,Damien Chazelle,Johnny Depp,"A thrilling mix of Drama and action, packed with stunning visuals and unforgettable moments."
Blade Runner 2049,Comedy,8.2,2016,Coen Brothers,Tom Hanks,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
Shaun of the Dead,Adventure,6.3,2017,Wes Anderson,Natalie Portman,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
Harry Potter and the Half-Blood Prince,Thriller,6.5,2005,J.J. Abrams,Jennifer Lawrence,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
The Incredibles,Adventure,5.3,2009,Alfred Hitchcock,Keanu Reeves,"A classic tale of love, loss, and redemption, set in a Adventure world of intrigue."
The Grand Budapest Hotel,Adventure,8.6,2011,Guillermo del Toro,Daniel Day-Lewis,A thought-provoking Adventure film that challenges perceptions of reality.
Bird Box,Romance,7.2,2014,Denis Villeneuve,Brad Pitt,A mesmerizing Romance story that explores the depths of human emotions and resilience.
Star Wars: The Empire Strikes Back,Romance,6.9,2021,Robert Zemeckis,Emma Stone,"A gripping tale of adventure and mystery, following a Romance journey like never before."
Gone Girl,Comedy,7.2,1983,Martin Scorsese,Leonardo DiCaprio,"A gripping tale of adventure and mystery, following a Comedy journey like never before."
Man of Steel,Romance,5.2,2014,George Lucas,Robert Downey Jr.,"A gripping tale of adventure and mystery, following a Romance journey like never before."
Toy Story,Horror,5.7,1993,James Cameron,Matt Damon,"A gripping tale of adventure and mystery, following a Horror journey like never before."
Aladdin,Fantasy,7.5,1989,Patty Jenkins,Brad Pitt,A thought-provoking Fantasy film that challenges perceptions of reality.
The Green Mile,Sci-Fi,5.6,1997,Quentin Tarantino,Scarlett Johansson,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
Turning Red,Drama,7.6,2010,J.J. Abrams,Anne Hathaway,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
Murder on the Orient Express,Thriller,7.2,1989,Christopher Nolan,Gal Gadot,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
Joker,Horror,6.8,2003,Steven Spielberg,Viola Davis,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Jurassic Park,Horror,6.6,1990,Zack Snyder,Ryan Gosling,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Beauty and the Beast,Drama,6.3,2005,Taika Waititi,Joaquin Phoenix,A mesmerizing Drama story that explores the depths of human emotions and resilience.
